項目名稱,項目類別,金額,支付類別,日期,備註
求嫻悠遊卡儲值,小孩儲值,1000.00,現金,2025/8/31,
果都*2,飲品點心,110.00,現金,2025/9/6,
兩人晚餐,正餐,255.00,現金,2025/9/5,兩支
全聯,日常所需,819.00,現金,2025/9/6,桂冠義大利麵、疏食
作中晚餐,正餐,99.00,現金,2025/9/7,7-11
中午餐 水煮,正餐,165.00,現金,2025/9/8,
小倆口,正餐,100.00,現金,2025/9/8,
水煮餐盒,正餐,185.00,現金,2025/9/9,
水煮餐盒,正餐,165.00,現金,2025/9/10,
魚麵,正餐,150.00,現金,2025/9/11,牛肉片麵
水煮餐盒,正餐,165.00,現金,2025/9/11,
水煮餐盒,正餐,165.00,現金,2025/9/12,
兩支,正餐,360.00,現金,2025/9/12,兩個韭菜捲餅，一個泡菜牛肉捲餅，一個木須炒麵
醫院萊爾富,醫療保險,68.00,現金,2025/9/13,御飯糰，蘋果
遠傳電信費用,非日常開銷,898.00,現金,2025/9/11,
魚麵,正餐,160.00,現金,2025/9/18,
全支付,日常所需,724.00,全支付,2025/9/19,水果 奶粉 豆腐
GooglePay,正餐,598.00,GooglePay,2025/9/20,麥當勞午餐
LinePay,飲品點心,65.00,LinePay,2025/9/20,CoCo飲料
悠遊付,小孩儲值,500.00,現金,2025/9/21,阿嫻悠遊卡儲值
LinePay,正餐,310.00,LinePay,2025/9/21,魚麵晚餐
LinePay,正餐,165.00,LinePay,2025/9/22,午餐水煮餐盒
LinePay,正餐,220.00,LinePay,2025/9/22,三顧茅廬晚餐
LinePay,正餐,175.00,LinePay,2025/9/24,水煮餐盒